metric,Agency,N,Median,P90,Pct_le_15,Pct_le_20
Phone Time,EMS,346,195.5,464.5,11.8,11.8
Phone Time,FIRE,165,123,324.79999999999995,12.7,12.7
Phone Time,POLICE,918,143.5,527.9000000000002,18.3,18.6
Processing Time,EMS,439,47,91.19999999999999,30.5,30.5
Processing Time,FIRE,213,35,99.80000000000001,31.5,34.3
Processing Time,POLICE,918,250.5,2638.500000000005,14.2,14.6
Time to Dispatch,EMS,439,2,3,98.4,98.6
Time to Dispatch,FIRE,213,2,3,99.5,99.5
Time to Dispatch,POLICE,918,152,2554.4000000000033,17.3,19.1
Time to Queue,EMS,439,44,87.19999999999999,30.5,31.2
Time to Queue,FIRE,213,33,96.80000000000001,32.9,35.7
Time to Queue,POLICE,918,51,183.60000000000014,20.3,24.6
